id,ID PUNTO,note,LATITUDINE,LONGITUDIN,QUOTA,SPECIE,NOME VOLG,natural_monument:criteria,AL IS - H,AL IS - C
2225,001/H037/VB/01,,45.995037,8.363515,247,Taxus baccata L.,Tasso,circumference,8.5,3.62
2226,002/I976/VB/01,,45.895475,8.527222,203,Cinnamomum camphora T.Nees et Eberm,Albero della canfora,age;circumference;shape;plant_architecture,30,7.2
2227,001/I976/VB/01,,45.884736,8.538732,270,Cedrus deodara (D.Don) G.Don,Cedro dell'Himalaya,age;circumference;landscape;historic,35,8.0
2228,003/I976/VB/01,,45.912497,8.538497,194,Taxodium distichum (L.) Rich,Cipresso calvo,age;circumference;shape;plant_architecture,25,4.7
2229,004/I976/VB/01,,45.911122,8.537803,212,Cupressus cashmeriana Royle ex Carrière,Cipresso del Cashmere,age;circumference;shape;plant_architecture;landscape,25,4.5
2230,006/I976/VB/01,,45.910952,8.538894,200,Magnolia grandiflora L.,Magnolia,age;circumference;shape;plant_architecture,22,4.35
2231,005/I976/VB/01,,45.911191,8.53898,201,Quercus suber L.,Sughera,age;rarity;plant_architecture,18,3.5
2232,001/L336/VB/01,,46.216508,8.21745,1273,Fagus sylvatica L.,Faggio,circumference;shape,33,1.6
2233,002/L691/VB/01,,46.281242,8.164067,1924,Larix decidua Mill.,Larice,age;circumference,25,4.6
2235,002/L746/VB/01,,45.924904,8.559921,222,Davidia involucrata Baill.,Albero dei fazzoletti,circumference;shape;plant_architecture,15,3.2
2236,001/L746/VB/01,,45.944722,8.516389,405,Taxus baccata L.,Tasso,age;circumference;shape;plant_architecture;landscape,14,3.7
2238,001/B505/VC/01,,45.79605,7.988536,1375,Picea abies (L.) H. Karst.,Abete rosso,circumference;height,37,4.1
2239,002/B752/VC/01,,45.910728,8.049314,1340,Fraxinus excelsior L.,Frassino maggiore,age;circumference,21,5.4
2240,001/B752/VC/01,,45.914083,8.049194,1562,Larix decidua Mill.,Larice,age;circumference,37.5,4.6
2241,001/D154/VC/01,,45.19293,8.122368,150,Tilia × europaea L. syn Tilia x vulgaris B. Heyne syn Tilia intermedia DC,Tiglio comune,shape,24,3.45
2242,001/E711/VC/01,,45.619378,8.3252,296,Prunus avium L.,Ciliegio selvatico,circumference;shape,12,3.05
2243,001/G266/VC/01,,45.173115,8.219993,134,Populus x euramericana (Dode) Guiner,Pioppo ibrido,circumference,39,4.1
2244,001/H291/VC/01,,45.884405,8.000348,1713,Larix decidua Mill.,Larice,age;circumference;height;landscape;historic,45,5.5
2245,001/L429/VC/01,,45.221106,8.253622,187,Quercus robur L.,Farnia,shape,28,3.15
